,"    ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
9," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
10," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
"AVG"," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
1," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
3," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
4," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
5," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
6," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
7," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
8," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
9," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%
10," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
"AVG"," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
1," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
2," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
3," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
4," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
5," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
6," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
7," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
8," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
9," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
10," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,99%,0%,0%,0%
"AVG"," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
1," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
2," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
3," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
4," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
5," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
6," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
7," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
8," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
9," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
10," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
"AVG"," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
1," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
2," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
3," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
4," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
5," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
6," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
7," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
8," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
9," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
10," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%
"AVG"," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
1," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
2," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
3," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
4," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
5," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
6," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
7," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
8," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
9," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
10," G",0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,93%,0%,0%,0%,0%,0%,0%
"AVG"," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
1," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
2," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
3," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
4," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
5," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
6," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
7," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
8," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
9," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
10," H",0%,0%,0%,1%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
"AVG"," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%
1," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
2," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
3," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
4," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
5," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
6," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
7," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
8," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
9," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
10," I",0%,0%,32%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,1%,0%,0%,0%,0%
"AVG"," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
7," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,1%,0%,0%,0%
"AVG"," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
7," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10," K",0%,0%,77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
7," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10," L",0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,100%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
"AVG"," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
