,"    ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
11," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,65%,0%
12," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
13," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
14," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
15," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%
16," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
17," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,0%
18," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
19," B",0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%
20," B",0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%
"AVG"," B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
11," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
12," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
13," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,54%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
14," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,96%,0%,0%
15," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,100%,0%,0%
16," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,0%,0%
17," C",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,0%,0%,0%,98%,0%,0%
18," C",0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,84%,0%,0%
19," C",0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,44%,0%,0%,95%,0%,0%,6%,0%,0%
20," C",0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,44%,0%,0%,95%,0%,0%,6%,0%,0%
"AVG"," C",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,99%,0%,0%,0%
11," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,89%,0%,0%,0%
12," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%
13," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%
14," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%
15," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%
16," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%
17," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,0%,0%,0%,100%,0%,0%,0%
18," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,100%,0%,0%,0%,100%,0%,0%,0%
19," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20," D",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
11," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
12," E",0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,77%,0%,3%,85%,0%
13," E",0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,71%,0%,5%,94%,0%
14," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%
15," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
16," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
17," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
18," E",0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,74%,0%,3%,84%,0%
19," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,4%
20," E",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,4%
"AVG"," E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%
11," F",0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%
12," F",0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
13," F",0%,0%,0%,0%,0%,0%,49%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
14," F",0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
15," F",0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%
16," F",0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,1%,0%,0%,0%
17," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,0%,0%,0%,0%,0%
18," F",0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,0%,0%,0%,0%,0%
19," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,1%
20," F",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,1%
"AVG"," F",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," G",0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,93%,0%,0%,0%,0%,0%,0%
11," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,0%,78%,0%,0%,0%,63%,99%,0%,0%,0%,0%,0%,0%
12," G",0%,0%,0%,0%,0%,3%,0%,0%,0%,9%,2%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,21%
13," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
14," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,8%,0%,0%,1%,0%,0%,0%,0%,0%,0%
15," G",0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,11%,0%,0%,9%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
16," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,3%,0%,23%,94%,0%,0%,23%,0%,0%
17," G",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,94%,0%,0%,0%,0%,0%,1%
18," G",0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
19," G",0%,0%,31%,1%,14%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20," G",0%,0%,31%,1%,14%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," G",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,5,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," H",0%,0%,0%,1%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
11," H",0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
12," H",0%,0%,0%,0%,0%,100%,0%,0%,0%,1%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
13," H",0%,0%,0%,0%,0%,10%,0%,0%,0%,1%,0%,67%,0%,0%,0%,0%,0%,0%,77%,0%,0%,0%,0%,0%,0%,0%
14," H",0%,0%,0%,0%,0%,1%,0%,0%,0%,6%,0%,98%,0%,0%,0%,0%,0%,0%,95%,0%,0%,0%,0%,0%,0%,0%
15," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,20%,0%,0%,0%
16," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
17," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
18," H",0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,0%,70%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%
19," H",0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20," H",0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," H",0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,6,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," I",0%,0%,32%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,1%,0%,0%,0%,0%
11," I",15%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,0%,0%,0%,9%,100%,0%,1%,0%,0%,0%,0%,0%,0%
12," I",13%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%
13," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
14," I",0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,68%,0%,0%,0%,0%,0%,0%,0%,0%
15," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
16," I",0%,0%,57%,95%,0%,0%,0%,0%,0%,0%,0%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
17," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
18," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
19," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
20," I",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," I",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,1%,0%,0%,0%
11," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
12," J",1%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,27%,0%,0%,0%
13," J",0%,0%,0%,54%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%
14," J",0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
15," J",100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
16," J",2%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,28%,0%,0%,0%
17," J",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
18," J",2%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,56%,0%,0%,0%
19," J",5%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,15%,0%,0%,0%
20," J",5%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,15%,0%,0%,0%
"AVG"," J",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," K",0%,0%,77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
11," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
12," K",0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,100%,0%,88%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
13," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,0%,0%,72%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
14," K",0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,100%,0%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
15," K",0%,0%,0%,0%,0%,0%,21%,0%,0%,0%,0%,0%,0%,100%,0%,87%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
16," K",0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,99%,0%,93%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
17," K",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
18," K",0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,93%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
19," K",0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,97%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20," K",0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,97%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," K",0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," L",0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,100%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
11," L",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,100%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%
12," L",0%,0%,0%,0%,0%,85%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
13," L",0%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%
14," L",0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,14%,0%,0%,0%,1%,0%,0%
15," L",0%,0%,0%,0%,0%,68%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%
16," L",0%,0%,0%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
17," L",0%,0%,0%,1%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,99%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
18," L",0%,0%,0%,1%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,100%,4%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%
19," L",0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,9%,0%,0%,0%,1%,0%,0%
20," L",0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,9%,0%,0%,0%,1%,0%,0%
"AVG"," L",0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
11," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,87%,0%,0%,0%
12," M",0%,3%,0%,0%,0%,0%,99%,0%,12%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,0%,0%
13," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
14," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,19%,0%
15," M",0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,63%,0%,0%,0%
16," M",0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%
17," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,85%,0%
18," M",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,0%,0%,0%,98%,0%,0%,0%
19," M",0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%
